# S3021-095-84 Airfoil Polar Data
# Source: airfoiltools.com (Xfoil prediction, Mach=0, Ncrit=9)
# Relevant to: Flightory Stork VTOL (wing airfoil)
# Operating Re range for Stork: ~250k-350k (interpolate between Re200k and Re500k)
# Best cruise AoA: ~5-6 degrees
#
# Columns: alpha (deg), CL, CD, Cm, CL/CD
#
# --- Re = 200,000 ---
Re,alpha_deg,CL,CD,Cm,CL_CD
200000,-9.0,-0.3155,0.0865,-0.0309,-3.65
200000,-8.75,-0.3245,0.0828,-0.0345,-3.92
200000,-8.0,-0.3542,0.0710,-0.0431,-4.99
200000,-7.0,-0.4193,0.0657,-0.0428,-6.38
200000,-6.0,-0.4216,0.0564,-0.0364,-7.48
200000,-5.0,-0.2278,0.0188,-0.0663,-12.12
200000,-4.75,-0.1974,0.0171,-0.0675,-11.54
200000,-4.0,-0.1326,0.0188,-0.0654,-7.05
200000,-3.0,-0.0048,0.0139,-0.0668,-0.35
200000,-2.0,0.0932,0.0103,-0.0637,9.05
200000,-1.0,0.2692,0.0089,-0.0742,30.25
200000,0.0,0.3623,0.0092,-0.0702,39.38
200000,1.0,0.4586,0.0096,-0.0666,47.77
200000,2.0,0.5565,0.0100,-0.0634,55.65
200000,3.0,0.6552,0.0105,-0.0604,62.40
200000,4.0,0.7537,0.0111,-0.0573,67.90
200000,5.0,0.8508,0.0117,-0.0542,72.72
200000,6.0,0.9440,0.0127,-0.0506,74.33
200000,7.0,1.0298,0.0143,-0.0463,72.01
200000,8.0,1.1056,0.0167,-0.0413,66.20
200000,9.0,1.1640,0.0207,-0.0346,56.23
200000,9.5,1.1732,0.0242,-0.0285,48.48
200000,10.0,1.1780,0.0271,-0.0220,43.47
200000,10.5,1.1857,0.0302,-0.0171,39.26
200000,11.0,1.1921,0.0338,-0.0132,35.27
200000,12.0,1.2163,0.0429,-0.0075,28.35
200000,12.5,1.2339,0.0492,-0.0052,25.08
200000,13.0,1.2312,0.0550,-0.0038,22.39
200000,13.5,1.2179,0.0618,-0.0039,19.71
200000,14.0,1.1977,0.0707,-0.0056,16.94
200000,15.0,1.1349,0.0943,-0.0156,12.03
200000,16.0,1.0656,0.1254,-0.0341,8.50
#
# --- Re = 500,000 ---
500000,-10.0,-0.4171,0.1014,-0.0243,-4.11
500000,-9.0,-0.4020,0.0930,-0.0260,-4.32
500000,-7.0,-0.4227,0.0556,-0.0451,-7.60
500000,-6.0,-0.3203,0.0348,-0.0649,-9.21
500000,-5.0,-0.2086,0.0263,-0.0687,-7.93
500000,-4.0,-0.1188,0.0128,-0.0629,-9.28
500000,-3.0,-0.0177,0.0103,-0.0599,-1.72
500000,-2.0,0.0875,0.0091,-0.0579,9.62
500000,-1.0,0.1853,0.0070,-0.0559,26.47
500000,0.0,0.3540,0.0062,-0.0668,57.10
500000,1.0,0.4556,0.0064,-0.0647,71.19
500000,2.0,0.5553,0.0067,-0.0621,82.88
500000,3.0,0.6553,0.0071,-0.0596,92.30
500000,4.0,0.7546,0.0076,-0.0571,99.29
500000,5.0,0.8524,0.0084,-0.0545,101.48
500000,6.0,0.9466,0.0097,-0.0516,97.59
500000,7.0,1.0129,0.0111,-0.0491,91.25
500000,7.5,1.0773,0.0127,-0.0465,84.83
500000,8.0,1.1143,0.0143,-0.0440,77.92
500000,9.0,1.1797,0.0180,-0.0374,65.54
500000,10.0,1.2273,0.0219,-0.0285,56.04
500000,11.0,1.2487,0.0267,-0.0180,46.77
500000,12.0,1.2597,0.0340,-0.0111,37.05
500000,13.0,1.2667,0.0435,-0.0077,29.12
500000,13.5,1.2659,0.0493,-0.0071,25.68
500000,14.0,1.2605,0.0561,-0.0072,22.47
500000,15.0,1.2283,0.0741,-0.0115,16.58
500000,16.0,1.1701,0.1003,-0.0241,11.67
500000,17.0,1.1007,0.1344,-0.0444,8.19
